Code Résidence ACM,Nom Résidence,Rue,Code postal,Ville,AdresseComplète,Longitude,Latitude,Zone_Sensible,Secteur,Date de Construction,Prochaine Rénovation,Date d'Acquisition,Nbre,<18,18-24,25-49,50-64,65-74,>=75
512,LE BELVEDERE,Avenue du puech de massane,34080,MONTPELLIER,0512 LEBELVEDEREAVENUEDUPUECHDEMASSANE 34080 MONTPELLIER,3.818347,43.643608,QPV,Secteur Belvedère,19970701,20370701,19970701,1,33,11,21,14,7,2
513,PUECH DE MASSANE,PlACE CARDINAL MARTY,34080,MONTPELLIER,0513 PUECHDEMASSANEPLACECARDINALMARTY 34080 MONTPELLIER,3.818975,43.643566,QPV,Secteur Belvedère,19950101,20350101,19950101,1,24,14,21,14,7,3
515,L'ENCLOS DE MASSANE,pl. D'ITALIE,34080,MONTPELLIER,0515 LENCLOSDEMASSANEPLDITALIE 34080 MONTPELLIER,3.819351,43.642548,QPV,Secteur Belvedère,19971208,20371208,19971208,1,23,11,20,11,6,3
518,ENSA MONTPELLIER,Place PIERRE VIALA,34000,MONTPELLIER,0518 ENSAMONTPELLIERPLACEPIERREVIALA 34000 MONTPELLIER,43.617062650417445,3.854828231071835,QPV,,19920101,20320101,19920101,1,0,0,0,0,0,0
519,HAMEAUX DE L'ENSAM,rue de la CROIX DE LAS CAZES,34000,MONTPELLIER,0519 HAMEAUXDELENSAMRUEDELACROIXDELASCAZES 34000 MONTPELLIER,43.61738186038972,3.852354633118682,Hors QPV,,20080101,20480101,20080101,1,0,0,0,0,0,0
520,ANDRE FRANQUIN,RUE LE PERUGIN,34000,MONTPELLIER,0520 ANDREFRANQUINRUELEPERUGIN 34000 MONTPELLIER,3.907335,43.605614,Hors QPV,Secteur Millénaire,20090217,20490217,20090217,1,43,11,46,22,6,2
522,COEUR DE VILLE,Rue Fernand Soubeyran,34830,JACOU,0522 COEURDEVILLERUEFERNANDSOUBEYRAN 34830 JACOU,3.912184,43.659981,Hors QPV,Secteur Agglomération,19921215,20321215,19921215,1,34,10,38,30,8,6
524,COEUR DE VILLE 2,pl. FRANCOIS MITTERRAND,34830,JACOU,0524 COEURDEVILLEPLFRANCOISMITTERRAND 34830 JACOU,3.91193,43.659565,Hors QPV,Secteur Agglomération,19960601,20360601,19960601,1,9,3,13,7,4,0
526,LES ALIZES,place JULES HARDOUIN,34080,MONTPELLIER,0526 LESALIZESPLACEJULESHARDOUIN 34080 MONTPELLIER,3.824232,43.613304,QPV,Secteur Celleneuve,19981201,20381201,19981201,1,26,5,21,13,3,2
535,LES BALCONS DE MASSANE,Rue Jean cavailles,34080,MONTPELLIER,0535 LESBALCONSDEMASSANERUEJEANCAVAILLES 34080 MONTPELLIER,3.819639,43.643562,QPV,Secteur Belvedère,19981201,20381201,19981201,1,39,7,29,16,5,3
536,FLORA TRISTAN,rue BOYER,34000,MONTPELLIER,0536 FLORATRISTANRUEBOYER 34000 MONTPELLIER,3.878924398,43.60106569,Hors QPV,Secteur Gare,19981215,20381215,19981215,1,15,4,22,18,11,9
